Stkcd,Trddt,Clsprc,Dnshrtrd,Adjprcwd,Adjprcnd,Trdsta
600309,2013/7/19,15.86,10020727,409.889913,331.512308,1
600309,2013/7/22,16.07,3450295,415.317207,335.901815,1
600309,2013/7/23,16.37,8338081,423.070484,342.17254,1
600309,2013/7/24,16.14,9903497,417.126305,337.364984,1
600309,2013/7/25,15.93,8467824,411.699011,332.975477,1
600309,2013/7/26,15.55,10308640,401.878193,325.032559,1
600309,2013/7/29,15.12,11712716,390.765163,316.04452,1
600309,2013/7/30,15.64,20955558,404.204177,326.913776,1
600309,2013/7/31,15.7,14929962,405.754832,328.167921,1
600309,2013/8/1,16.03,12355124,414.283437,335.065718,1
600309,2013/8/2,16.03,10366458,414.283437,335.065718,1
600309,2013/8/5,15.95,15065278,412.215896,333.393525,1
600309,2013/8/6,16.03,19174462,414.283437,335.065718,1
600309,2013/8/7,15.69,17571858,405.49639,327.958897,1
600309,2013/8/8,15.69,8948651,405.49639,327.958897,1
600309,2013/8/9,16.11,14882144,416.350978,336.737911,1
600309,2013/8/12,17.53,43689357,453.049823,366.419341,1
600309,2013/8/13,17.9,31937605,462.612198,374.153235,1
600309,2013/8/14,17.49,20197776,452.016053,365.583245,1
600309,2013/8/15,17.5,14060834,452.274496,365.792269,1
600309,2013/8/16,17.23,22306018,445.296547,360.148617,1
600309,2013/8/19,17.49,13514499,452.016054,365.583245,1
600309,2013/8/20,17.36,14421705,448.656301,362.865931,1
600309,2013/8/21,17.2,10406032,444.52122,359.521545,1
600309,2013/8/22,16.92,11198624,437.284828,353.668869,1
600309,2013/8/23,16.78,13250306,433.666632,350.742531,1
600309,2013/8/26,17.31,15919962,447.364088,361.820811,1
600309,2013/8/27,17.49,13316495,452.016054,365.583246,1
600309,2013/8/28,17.08,10336799,441.419909,357.013256,1
600309,2013/8/29,16.96,6701112,438.318598,354.504966,1
600309,2013/8/30,16.88,8228166,436.251057,352.832773,1
600309,2013/9/2,17.15,8673870,443.229006,358.476425,1
600309,2013/9/3,17.15,9568866,443.229006,358.476425,1
600309,2013/9/4,17.22,12670081,445.038104,359.939594,1
600309,2013/9/5,16.93,12583738,437.543269,353.877894,1
600309,2013/9/6,16.47,20104328,425.654911,344.262783,1
600309,2013/9/9,16.83,13983445,434.958843,351.787653,1
600309,2013/9/10,16.68,16986845,431.082204,348.652291,1
600309,2013/9/11,16.89,20025926,436.509498,353.041798,1
600309,2013/9/12,16.95,13077305,438.060153,354.295943,1
600309,2013/9/13,17.09,10829213,441.678349,357.222281,1
600309,2013/9/16,16.75,17746102,432.891302,350.11546,1
600309,2013/9/17,16.3,12245246,421.261386,340.709373,1
600309,2013/9/18,16.34,6645852,422.295156,341.54547,1
600309,2013/9/23,16.55,7135998,427.72245,345.934977,1
600309,2013/9/24,16.38,14927909,423.328926,342.381566,1
